,00K8004,00K8003,00K50010,00K3509,00K2006,00K16001,00K10006,00E8007,00E8006,00E8005,00E8004,00E6004,00E4005,00E40011,00E40010,00E3009,00E3008,00E3007,00E3006,00E2759,00E27510,00E17006,00E15007,00E15006,00E15005,00E11007,00E11006,00E11004,00SD1100,00K5009,00K50011,00K10001
87,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
88,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
89,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
90,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
91,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
92,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
93,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
94,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
95,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
96,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
97,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
98,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
99,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
100,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
101,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
102,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
103,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
104,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
105,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
106,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
107,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
108,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
109,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
110,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
111,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
112,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
113,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
114,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
115,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
116,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
117,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
118,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
119,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
120,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
121,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
122,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
123,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
124,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
125,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
126,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
127,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
128,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
129,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
130,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
131,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
132,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
133,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
134,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
135,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I02917024003A,,,,,,,,,,,,,
